Index,ProductName,ScrapeDate,ScrapedIndex,ScrapedIndexTrueRank,CorrectedIndexTrueRank,ScrapedIndexPrice,CorrectedPrice,ScrapedIndexVendor,ScrapedIndexVendorType,BBScrapedPrice,BBVendorType,BBVendor,BBCorrectedPrice
0,"#1 BEST Probiotic Supplement - 60 Day Supply with 100% Moneyback Guarantee - Improve Digestion, Bowel Regularity, & Increase Energy with the Most Potent Probiotic...",2016-06-14,2,2,1,20.99,20.99,Supplement Warriors,Other,-1,FBA,Sold by Sharp Nutrition and Fulfilled by Amazon.,25.02
1,"#1 BEST Probiotic Supplement - 60 Day Supply with 100% Moneyback Guarantee - Improve Digestion, Bowel Regularity, & Increase Energy with the Most Potent Probiotic...",2016-06-14,1,1,2,19.99,25.02,Sharp Nutrition,FBA,-1,FBA,Sold by Sharp Nutrition and Fulfilled by Amazon.,25.02
2,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,1,1,1,3.96,3.96,speedy tests,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
3,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,2,1,1,3.96,3.96,Drug Abuse Control,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
4,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,3,1,1,3.96,3.96,Lowest Priced Tests,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
5,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,11,9,1,3.96,3.96,speedy tests,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
6,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,5,3,2,6.5,6.5,"Uritox, LLC",Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
7,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,6,4,3,7.99,7.99,mynewwhip,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
8,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,7,5,4,8.49,8.49,ChopShopDeals,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
9,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,8,6,5,8.99,8.99,American Screening Corporation,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
10,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,13,11,6,9.039999999999999,9.039999999999999,American Screening Corporation,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
11,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,12,10,7,4.79,9.859999999999999,Lowest Priced Tests,FBA,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
12,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,4,2,8,4.9,9.970000000000001,Michael Minyety,FBA,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
13,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,9,7,9,9.99,9.99,SWAPMEETDEALS,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
14,"10 Panel Dip Drug Testing Kit, Test for 10 Different Drugs. (1)",2016-06-27,10,8,10,10,10,American Pumpkins,Other,4.9,FBA,Sold by Michael Minyety and Fulfilled by Amazon.,9.97
